perl-timedate 2.35-1
phodav 3.0-4
picom 13-1
pika-backup 0.7.6-1
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
planify 4.18.3-1
planify-debug 4.18.3-1
podman 5.8.1-1
polkit 127-3
polybar 3.7.2-2
poppler 26.03.0-1
poppler-data 0.4.12-2
poppler-glib 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.3-2
potrace 1.16-4
presenterm 0.16.1-1
procps-ng 4.0.6-1
protobuf 33.1-4
protobuf-c 1.5.2-8
psmisc 23.7-1
python 3.14.3-1
python-anyio 4.12.1-1
python-argcomplete 3.6.3-1
python-argon2-cffi 25.1.0-2
python-argon2-cffi-bindings 25.1.0-2
python-asttokens 3.0.1-1
python-async-lru 2.3.0-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-babel 2.17.0-3
python-bcrypt 5.0.0-2
python-beautifulsoup4 4.14.3-2
python-bleach 6.3.0-2
python-cairo 1.29.0-2
python-certifi 2026.02.25-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.6-1
python-click 8.3.2-1
python-colorama 0.4.6-6
python-comm 0.2.3-2
python-cryptography 46.0.5-2
python-dateutil 2.9.0-8
python-decorator 5.2.1-2
python-defusedxml 0.7.1-8
python-executing 2.2.1-3
python-fastjsonschema 2.21.2-2
python-fluidity 0.2.1-8
python-gobject 3.54.5-2
python-h11 0.16.0-2
python-httpcore 1.0.9-3
python-httpx 0.28.1-7
python-i3ipc 2.2.1-9
python-idna 3.11-2
python-importlib-metadata 8.7.1-3
python-importlib_resources 6.5.2-2
python-invoke 2.2.1-2
python-ipykernel 7.2.0-1
python-ipython-pygments-lexers 1.1.1-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jedi 0.19.2-4
python-jinja 1:3.1.6-3
python-json-logger 4.0.0-1
python-json5 0.13.0-2
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-jupyter-client 8.8.0-2
python-jupyter-core 5.9.1-2
python-jupyter-events 0.12.0-2
python-jupyterlab-server 2.28.0-2
python-jupytext 1.18.1-1
python-legacy-cgi 2.6.4-2
python-lexicon 3.0.0-2
python-lxml 6.0.2-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markdown-it-py 4.0.0-2
python-markupsafe 3.0.3-1
python-matplotlib-inline 0.2.1-2
python-mdit_py_plugins 0.5.0-2
python-mdurl 0.1.2-9
python-mistune 1:3.2.0-1
python-more-itertools 10.8.0-2
python-msgpack 1.1.2-2
python-nest-asyncio 1.6.0-5
python-numpy 2.4.3-1
python-outcome 1.3.0.post0-7
python-packaging 26.0-1
python-pandocfilters 1.5.1-4
python-paramiko 4.0.0-2
python-parso 1:0.8.6-1
python-pexpect 4.9.0-7
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.4-1
python-prometheus_client 0.24.1-1
python-prompt_toolkit 3.0.52-2
python-protobuf 33.1-4
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pure-eval 0.2.3-3
python-pycparser 3.00-1
python-pyfuse3 3.4.2-1
python-pygments 2.19.2-3
python-pynacl 1.6.2-1
python-pytz 2026.1-1
python-pyzmq 27.1.0-2
python-referencing 0.37.0-3
python-requests 2.32.5-4
python-resolvelib 1.2.1-2
python-rich 14.3.3-1
python-rpds-py 0.30.0-3
python-ruamel-yaml 0.18.11-1
python-ruamel.yaml.clib 0.2.15-2
python-send2trash 1.8.3-3
python-setuptools 1:82.0.1-1
python-six 1.17.0-3
python-sniffio 1.3.1-5
python-sortedcontainers 2.4.0-8
python-soupsieve 2.8.3-1
python-stack-data 0.6.3-5
python-tinycss2 1.5.1-2
python-toml 0.10.2-13
python-tornado 6.5.4-1
